Symbol,Close,Percent Change,Volume
NABIL,1367,-0.02,188406
NABIL,1355,-0.01,180791
NABIL,1319,-2.66,182067
NABIL,1335,1.21,285817
NABIL,1350,1.12,143200
NABIL,1322,0,163157
NABIL,1296,-1.97,176137
NABIL,1314,0,102909
NABIL,1274,-3.04,133848
NABIL,1244,-2.35,152652
NABIL,1300,4.5,155720
NABIL,1285,-1.15,67034
NABIL,1275,-0.78,81515
NABIL,1255,-1.57,69416
NABIL,1215,-3.19,169858
NABIL,1205,-0.82,163239
NABIL,1207,0.17,115007
NABIL,1219,0.99,96573
NABIL,1243,1.97,91022
NABIL,1260,1.37,110107
NABIL,1244,-1.19,93451
NABIL,1234,-0.8,55201
NABIL,1239,0.41,53495
NABIL,1227,-0.97,55649
NABIL,1232,0.41,51438
NABIL,1236,0.32,97016
NABIL,1294,4.69,187475
NABIL,1283,-0.85,107609
NABIL,1316,2.57,183452
NABIL,1315,-0.08,117881
NABIL,1311,-0.3,103143
NABIL,1317,0.46,98854
NABIL,1330,0.99,134432
NABIL,1348,1.35,182723
NABIL,1380,2.37,209373
NABIL,1370,-0.72,168272
NABIL,1335,-2.55,173524
NABIL,1318,-1.27,142099
NABIL,1315,-0.23,120001
NABIL,1294,-1.6,109757
NABIL,1298,0.23,125239
NABIL,1270,-2.16,165129
NABIL,1235,-2.76,156529
NABIL,1279,3.9,107145
NABIL,1264,-1.1,84413
NABIL,1270,0.47,75819
NABIL,1275,0.39,93567
NABIL,1284,0.71,117310
NABIL,1274,-0.78,80193
NABIL,1266,-0.63,67433
NABIL,1265,-0.08,60497
NABIL,1259,-0.47,94346
NABIL,1260,0.08,67445
NABIL,1265,0.4,95404
NABIL,1262,-0.24,94423
NABIL,1267,0.4,76245
NABIL,1288,1.66,165718
NABIL,1308,1.55,103727
NABIL,1308,0,73064
NABIL,1302,-0.46,103756
NABIL,1300,-0.15,65407
NABIL,1312,0.92,107284
NABIL,1320,0.61,127131
NABIL,1306,-1.06,85759
NABIL,1294,-0.92,108286
NABIL,1300,0.46,90621
NABIL,1285,-1.15,123090
NABIL,1292,0.54,110156
NABIL,1293,0.08,60397
NABIL,1309,1.24,175139
NABIL,1330,1.6,193387
NABIL,1316,-1.05,148222
NABIL,1315,-0.08,120498
NABIL,1310,0,148864
NABIL,1304,-0.46,132428
NABIL,1304,0,142630
NABIL,1309,0.38,176408
NABIL,1312,0.23,110411
NABIL,1308,-0.3,94402
NABIL,1309,0.08,92288
NABIL,1297,-0.92,117221
NABIL,1285,-0.93,129080
NABIL,1298,1.01,106023
NABIL,1291,-0.54,94681
NABIL,1286,-0.39,80446
NABIL,1298,0.93,81126
NABIL,1302,0.31,66695
NABIL,1296,-0.46,62112
NABIL,1296,0,69882
NABIL,1297,0.08,41519
NABIL,1298,0.08,47249
NABIL,1297,-0.08,46953
NABIL,1301,0.31,68703
NABIL,1299,-0.15,66773
NABIL,1317,1.39,90493
NABIL,1345,2.13,192294
NABIL,1338,-0.52,162964
NABIL,1347,0.67,136946
NABIL,1349,0.15,101853
NABIL,1359,0.74,87922
NABIL,1440,5.96,272476
NABIL,1451,0.76,226566
NABIL,1454,0.21,113294
NABIL,1459,0.34,147151
NABIL,1499.5,2.78,171727
NABIL,1492,-0.5,196175
NABIL,1489,-0.2,211397
NABIL,1482,-0.47,84254
NABIL,1477,-0.34,80443
NABIL,1480,0.2,75284
NABIL,1487,0.47,59355
NABIL,1490,0.2,58914
NABIL,1488.9,-0.07,63649
